id,status,symbol,time,type,trend,price,balance_rate,try_count,order_id,strategy_id
123653,done,600519.XSHG,2005-07-01 10:59:00,sell,long,12.22,0.00,1,F1DC5032-A1DF-4752-833C-71F911116E35,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-07-01 10:59:00,sell,long,12.22,0.00,1,507A4216-3939-42D9-8790-A9D331C2CB1F,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-07-01 10:59:00,sell,long,12.22,0.00,1,890DED23-9593-4C7C-A2CD-10555842792C,BFE3F9EB-F76E-4977-A481-A8B45705136F
123653,done,600519.XSHG,2005-07-01 10:59:00,sell,long,12.22,0.00,1,D5B9A430-05D2-4E10-9953-A15EA3EAEFD3,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-07-01 10:59:00,sell,long,12.22,0.00,1,E4705DCC-08B4-4560-B21C-DD27FA500BF1,288316CB-3A74-4629-9C45-A07ACA8419AD
123653,done,600519.XSHG,2005-07-01 10:59:00,sell,long,12.22,0.00,1,8B2E9EAF-C27A-414F-9FD0-1BC4EBD09974,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-07-01 14:59:00,sell,long,12.13,0.00,1,1D7CAA99-F8F9-4C6B-872A-3E5BC71FB939,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-07-05 14:59:00,sell,long,12.11,0.00,1,13A8613A-B4C1-4456-965E-79640E109508,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-07-07 13:59:00,buy,long,11.78,0.10,1,A9492BA2-A579-4D0D-8909-69AB07444BC9,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-07-07 14:59:00,buy,long,11.71,0.10,1,1412114D-22AD-4232-B1FB-E998EDCA8A24,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-07-07 14:59:00,buy,long,11.71,0.10,1,C5F4734A-645E-4CA2-9D6F-71839443C44E,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-07-07 14:59:00,buy,long,11.71,0.10,1,39D958FB-27BA-4304-8A1D-20C2EBF2634C,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-07-08 10:59:00,buy,long,12.11,0.10,1,471877BD-F5FE-4144-8F15-D2E382E75A0A,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-07-08 10:59:00,buy,long,12.11,0.10,1,AA91F39C-606E-4AD7-9879-FB1684B22BEA,288316CB-3A74-4629-9C45-A07ACA8419AD
123653,done,600519.XSHG,2005-07-08 10:59:00,buy,long,12.11,0.10,1,F2778D18-D8E6-49AF-9E3F-BB488EAE33EF,BFE3F9EB-F76E-4977-A481-A8B45705136F
123653,done,600519.XSHG,2005-07-08 10:59:00,buy,long,12.11,0.10,1,640875EB-FFD0-4431-9A47-EEE3F41761D1,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-07-11 14:29:00,sell,long,12.14,0.00,1,A9492BA2-A579-4D0D-8909-69AB07444BC9,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-07-11 14:29:00,sell,long,12.14,0.00,1,C5F4734A-645E-4CA2-9D6F-71839443C44E,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-07-12 11:29:00,buy,long,12.10,0.10,1,75B6BBAA-C1A4-4837-A949-D839C995498A,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-07-12 11:29:00,sell,long,12.10,0.00,1,1412114D-22AD-4232-B1FB-E998EDCA8A24,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-07-12 11:29:00,buy,long,12.10,0.10,1,6807A3F2-3354-4C86-82CE-52CE55B6CEFB,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-07-12 11:29:00,sell,long,12.10,0.00,1,640875EB-FFD0-4431-9A47-EEE3F41761D1,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-07-12 11:29:00,sell,long,12.10,0.00,1,39D958FB-27BA-4304-8A1D-20C2EBF2634C,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-07-13 14:59:00,sell,long,12.20,0.00,1,75B6BBAA-C1A4-4837-A949-D839C995498A,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-07-13 14:59:00,buy,long,12.20,0.10,1,3CA1A2B6-B35D-402F-A33E-A778FD456770,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-07-13 14:59:00,sell,long,12.20,0.00,1,6807A3F2-3354-4C86-82CE-52CE55B6CEFB,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-07-13 14:59:00,buy,long,12.20,0.10,1,600F8053-7EAB-4949-A42F-1A523AF22111,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-07-13 14:59:00,sell,long,12.20,0.00,1,471877BD-F5FE-4144-8F15-D2E382E75A0A,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-07-13 14:59:00,sell,long,12.20,0.00,1,AA91F39C-606E-4AD7-9879-FB1684B22BEA,288316CB-3A74-4629-9C45-A07ACA8419AD
123653,done,600519.XSHG,2005-07-14 10:29:00,buy,long,12.31,0.10,1,5F5B35F8-98AE-4181-BCEC-FF414DBDAF92,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-07-14 10:29:00,buy,long,12.31,0.10,1,135BDB07-E95E-4125-B565-F7C6D27379E1,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
